struct_id,name,smiles,inchikey,approved,approval_agencies,first_approval,chembl_max_phase4,n_targets,targets,moa_targets,flags
4,levobupivacaine,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,LEBVLXFERQHONN-INIZCTEOSA-N,1,FDA,1999-08-05,1,8,CYP2D6;HTR3A;KCNA5;KCND3;KCNH2;PTGER1;SCN1A;SCN4A,SCN4A,
5,(S)-nicardipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,ZBBHBTPTTSWHBA-DEOSSOPVSA-N,0,,,1,2,CACNA1C;CACNA1D,CACNA1C;CACNA1D,
6,(S)-nitrendipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc([N+](=O)[O-])c1,PVHUJELLJLJGLN-INIZCTEOSA-N,0,,,0,4,CACNA1C;CACNA1D;CACNA1F;KCNN4,CACNA1C;CACNA1D,
13,levdobutamine,C[C@@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,JRWZLRBJNMZMFE-ZDUSSCGKSA-N,0,,,1,1,ADRB1,ADRB1,
21,aminopterin,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,TVZGACDUOSZQKY-LBPRGKRZSA-N,0,,,0,1,DHFR,DHFR,
22,aminomethylbenzoic acid,NCc1ccc(C(=O)O)cc1,QCTBMLYLENLHLA-UHFFFAOYSA-N,0,,,0,0,,,
24,phenylbutanoic acid,O=C(O)CCCc1ccccc1,OBKXEAXTFZPCHS-UHFFFAOYSA-N,1,FDA,1996-04-30,1,4,AKR1B1;HDAC1;HDAC2;HDAC8,,
25,azacitidine,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,NMUSYJAQQFHJEW-KVTDHHQDSA-N,1,EMA;FDA,2004-05-19,1,2,DNMT1;DNMT3A,DNMT1;DNMT3A,
26,fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,GHASVSINZRGABV-UHFFFAOYSA-N,1,FDA,1962-04-25,1,3,ABCC11;ABCC5;TYMS,TYMS,
27,azaribine,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,QQOBRRFOVWGIMD-OJAKKHQRSA-N,0,,,1,0,,,
30,methoxsalen,COc1c2occc2cc2ccc(=O)oc12,QXKHYNVANLEOEG-UHFFFAOYSA-N,1,FDA,1954-12-03,1,3,ACHE;CYP1A2;MAOA,,
33,artisone acetate,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,MDJRZSNPHZEMJH-MTMZYOSNSA-N,0,,,0,0,,,
34,abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,MCGSCOLBFJQGHM-SCZZXKLOSA-N,1,EMA;FDA,1998-12-17,1,0,,,
35,abarelix,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,AIWRTTMUVOZGPW-HSPKUQOVSA-N,1,FDA,2003-11-25,1,1,GNRHR,GNRHR,
37,acadesine,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,RTRQQBHATOEIAF-UUOKFMHZSA-N,0,,,0,0,,,
38,acamprosate,CC(=O)NCCCS(=O)(=O)O,AFCGFAGUEYAMAO-UHFFFAOYSA-N,1,FDA,2004-07-29,1,10,GABRA1;GABRB3;GABRG2;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3A;GRIN3B,GABRA1;GABRB3;GABRG2;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3A;GRIN3B,
39,acarbose,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,XUFXOAAUWZOOIT-UGEKTDRHSA-N,1,FDA,1995-09-06,1,5,AMY1A;AMY2A;GAA;MGAM;SI,AMY2A;MGAM,
40,acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,GOEMGAFJFRBGGG-UHFFFAOYSA-N,1,FDA,1984-12-28,1,2,ADRB1;ADRB2,ADRB1,
42,acecarbromal,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,SAZUGELZHZOXHB-UHFFFAOYSA-N,0,,,0,0,,,
43,aceclofenac,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,1,FDA,,0,3,MAPK1;PTGS2;TTR,PTGS2,
44,acediasulfone,Nc1ccc(S(=O)(=O)c2ccc(NCC(=O)O)cc2)cc1,FKKUMFTYSTZUJG-UHFFFAOYSA-N,0,,,0,0,,,
45,aceglatone,CC(=O)O[C@@H]1C(=O)O[C@H]2[C@@H]1OC(=O)[C@@H]2OC(C)=O,ZOZKYEHVNDEUCO-DKXJUACHSA-N,0,,,0,0,,,
46,aceglutamide,CC(=O)N[C@@H](CCC(N)=O)C(=O)O,KSMRODHGGIIXDV-YFKPBYRVSA-N,0,,,0,0,,,
47,acemetacin,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,FSQKKOOTNAMONP-UHFFFAOYSA-N,0,,,1,3,GLO1;PTGS1;PTGS2,PTGS1;PTGS2,
48,acenocoumarol,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,VABCILAOYCMVPS-UHFFFAOYSA-N,0,,,1,1,VKORC1,VKORC1,
49,acefylline,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,HCYFGRCYSCXKNQ-UHFFFAOYSA-N,0,,,1,1,ADORA2B,,
50,aceprometazine,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,XLOQNFNTQIRSOX-UHFFFAOYSA-N,0,,,0,1,HRH1,HRH1,
51,acetamidoeugenol,C=CCc1ccc(OCC(=O)N(CC)CC)c(OC)c1,AXNKGLDCLYLVLQ-UHFFFAOYSA-N,0,,,0,0,,,
52,paracetamol,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,1,FDA,1968-11-07,1,14,ALOX5AP;CA1;CA12;CA14;CA2;CA3;CA4;CA7;CA9;CNR1;MB;NR1I3;PTGS2;TRPV1,CNR1;PTGS2;TRPV1,
53,acetaminosalol,CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,TWIIVLKQFJBFPW-UHFFFAOYSA-N,0,,,0,0,,,
54,acetanilide,CC(=O)Nc1ccccc1,FZERHIULMFGESH-UHFFFAOYSA-N,0,,,1,1,NAPRT,,
55,acetarsol,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,ODFJOVXVLFUVNQ-UHFFFAOYSA-N,0,,,1,0,,,
56,acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,BZKPWHYZMXOIDC-UHFFFAOYSA-N,1,FDA,1953-07-27,1,14,AQP1;CA1;CA11;CA12;CA13;CA14;CA2;CA3;CA4;CA5A;CA5B;CA6;CA7;CA9,CA1;CA12;CA2;CA4,
57,acetohexamide,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,VGZSUPCWNCWDAN-UHFFFAOYSA-N,1,FDA,1964-12-23,1,2,ABCC8;KCNJ11,ABCC8;KCNJ11,
