struct_id,name,smiles,inchikey,approved,approval_agencies,first_approval,chembl_max_phase4,n_targets,targets,moa_targets,flags,source,source_url,withdrawn,chembl_id,molecule_type,chembl_max_phase,approval_basis,target_evidence,notes
900000,"3,3',4',5-tetrachlorosalicylanilide",O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,SJQBHPJLLIJASD-UHFFFAOYSA-N,1,,,1,0,,,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL291338.json,1,CHEMBL291338,Small molecule,4.0,chembl_max_phase_4,,
900001,abiraterone,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,GZOSMCIZMLWJML-VJLLXTKPSA-N,1,,,1,5,AR;CYP17A1;SRD5A1;SRD5A2;SRD5A3,AR;CYP17A1;SRD5A1;SRD5A2;SRD5A3,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL254328.json,0,CHEMBL254328,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",
900002,abrocitinib,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,IUEWXNHSKRWHDY-PHIMTYICSA-N,1,,2021,1,4,JAK1;JAK2;JAK3;TYK2,JAK1,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3655081.json,0,CHEMBL3655081,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",
900003,acoramidis,Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,WBFUHHBPNXWNCC-UHFFFAOYSA-N,1,,2024,1,1,TTR,TTR,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3940890.json,0,CHEMBL3940890,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",same parent structure as: ACORAMIDIS HYDROCHLORIDE (CHEMBL4650226)
900004,adagrasib,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,PEMUGDMSUDYLHU-ZEQRLZLVSA-N,1,,2022,1,2,KRAS;VHL,KRAS,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4594350.json,0,CHEMBL4594350,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",
900005,aluminum chloride anhydrous,[Cl][Al]([Cl])[Cl],VSCWAEJMTAWNJL-UHFFFAOYSA-K,1,,,1,0,,,inorganic,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3833401.json,0,CHEMBL3833401,Small molecule,4.0,chembl_max_phase_4,,
900006,amoproxan,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,YOKPRDAUBGOISU-UHFFFAOYSA-N,1,,,1,0,,,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL2104537.json,1,CHEMBL2104537,Small molecule,4.0,chembl_max_phase_4,,
900007,aprocitentan,NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,DKULOVKANLVDEA-UHFFFAOYSA-N,1,,2024,1,2,EDNRA;EDNRB,EDNRA;EDNRB,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL2165326.json,0,CHEMBL2165326,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",
900008,arimoclomol,[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1,SGEIEGAXKLMUIZ-XUVDNFPMSA-N,1,,2024,1,0,,,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL2107726.json,0,CHEMBL2107726,Small molecule,4.0,chembl_max_phase_4,,same parent structure as: ARIMOCLOMOL CITRATE (CHEMBL4298149)
900009,arsenic trioxide,O=[As][As+](=O)[O-],MOQADKPFYVWPSE-UHFFFAOYSA-N,1,,2000,1,1,TXNRD1,TXNRD1,inorganic,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL5483015.json,0,CHEMBL5483015,Small molecule,4.0,chembl_max_phase_4,chembl_mechanism,
900010,asciminib,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,VOVZXURTCKPRDQ-CQSZACIVSA-N,1,,2021,1,2,ABL1;BCR,ABL1,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4208229.json,0,CHEMBL4208229,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",same parent structure as: ASCIMINIB HYDROCHLORIDE (CHEMBL4297220)
900011,atogepant,C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,QIVUCLWGARAQIO-OLIXTKCUSA-N,1,,2021,1,1,CALCRL,CALCRL,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3991065.json,0,CHEMBL3991065,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",
900012,auranofin,CC(=O)OC[C@H]1O[C@@H](S)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,SFOZKJGZNOBSHF-RGDJUOJXSA-N,1,,1985,1,0,,,multi_fragment;metal_stripped,PubChem PUG REST (name lookup; ChEMBL has no structure),"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/16667669/property/Title,SMILES/JSON",0,CHEMBL1366,Small molecule,4.0,chembl_max_phase_4,,no structure in ChEMBL; SMILES from PubChem CID 16667669 (Title: Auranofin; identity confirmed by pubchem_title_agrees)
900013,aurothioglucose,OC[C@H]1O[C@H](S)[C@H](O)[C@@H](O)[C@@H]1O,JUSMHIGDXPKSID-VFUOTHLCSA-N,1,,1940,1,1,SQOR,,multi_fragment;metal_stripped,PubChem PUG REST (name lookup; ChEMBL has no structure),"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/6104/property/Title,SMILES/JSON",0,CHEMBL1697725,Small molecule,4.0,chembl_max_phase_4,"chembl_pchembl>=6,n>=2",no structure in ChEMBL; SMILES from PubChem CID 6104 (Title: Aurothioglucose; identity confirmed by pubchem_title_agrees)
900014,avacopan,Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,PUKBOVABABRILL-YZNIXAGQSA-N,1,,2021,1,1,C5AR1,C5AR1,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3989871.json,0,CHEMBL3989871,Small molecule,4.0,chembl_max_phase_4,chembl_mechanism,
900015,bacitracin,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,CLKOFPXJLQSYAH-ABRJDSQDSA-N,1,,1948,1,0,,,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1200558.json,0,CHEMBL1200558,Protein,4.0,chembl_max_phase_4,,same parent structure as: BACITRACIN ZINC (CHEMBL2096639)
