struct_id,name,smiles,targets,moa_targets
4,levobupivacaine,CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,CYP2D6;HTR3A;KCNA5;KCND3;KCNH2;PTGER1;SCN1A;SCN4A,SCN4A
5,(S)-nicardipine,COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,CACNA1C;CACNA1D,CACNA1C;CACNA1D
6,(S)-nitrendipine,CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,CACNA1C;CACNA1D;CACNA1F;KCNN4,CACNA1C;CACNA1D
13,levdobutamine,C[C@@H](CCC1=CC=C(O)C=C1)NCCC1=CC=C(O)C(O)=C1,ADRB1,ADRB1
21,aminopterin,NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,DHFR,DHFR
24,phenylbutanoic acid,OC(=O)CCCC1=CC=CC=C1,AKR1B1;HDAC1;HDAC2;HDAC8,
25,azacitidine,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,DNMT1;DNMT3A,DNMT1;DNMT3A
26,fluorouracil,FC1=CNC(=O)NC1=O,ABCC11;ABCC5;TYMS,TYMS
30,methoxsalen,COC1=C2OC=CC2=CC2=C1OC(=O)C=C2,ACHE;CYP1A2;MAOA,
35,abarelix,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,GNRHR,GNRHR
38,acamprosate,CC(=O)NCCCS(O)(=O)=O,GABRA1;GABRB3;GABRG2;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3A;GRIN3B,GABRA1;GABRB3;GABRG2;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3A;GRIN3B
39,acarbose,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,AMY1A;AMY2A;GAA;MGAM;SI,AMY2A;MGAM
40,acebutolol,CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1,ADRB1;ADRB2,ADRB1
43,aceclofenac,OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,MAPK1;PTGS2;TTR,PTGS2
47,acemetacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,GLO1;PTGS1;PTGS2,PTGS1;PTGS2
48,acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=C(OC1=O)C=CC=C2,VKORC1,VKORC1
49,acefylline,CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O,ADORA2B,
50,aceprometazine,CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C,HRH1,HRH1
52,paracetamol,CC(=O)NC1=CC=C(O)C=C1,ALOX5AP;CA1;CA12;CA14;CA2;CA3;CA4;CA7;CA9;CNR1;MB;NR1I3;PTGS2;TRPV1,CNR1;PTGS2;TRPV1
54,acetanilide,CC(=O)NC1=CC=CC=C1,NAPRT,
56,acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,AQP1;CA1;CA11;CA12;CA13;CA14;CA2;CA3;CA4;CA5A;CA5B;CA6;CA7;CA9,CA1;CA12;CA2;CA4
57,acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,ABCC8;KCNJ11,ABCC8;KCNJ11
58,acetohydroxamic acid,CC(=O)NO,CA2,
59,acetophenazine,CC(=O)C1=CC=C2SC3=CC=CC=C3N(CCCN3CCN(CCO)CC3)C2=C1,DRD2,DRD2
60,racecadotril,CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC1=CC=CC=C1,ACE;ECE1;MME,MME
62,acetoxolone,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4C[C@](C)(CC[C@]4(C)CC[C@@]32C)C(O)=O)C1(C)C,CES1;CES2;HSD11B1;HSD11B2;HSD17B1;HSD17B2,
65,acetylcholine,CC(=O)OCC[N+](C)(C)C,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CHRNA4;CHRNA7;CHRNB2,CHRM3
66,acetylcysteine,CC(=O)N[C@@H](CS)C(O)=O,CYCS;GSS;SLC7A11;SOD2;VEGFA,
67,acetyldigitoxin,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;FXYD2,ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;FXYD2
73,acepromazine,CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(C=C12)C(C)=O,DRD1;DRD2;PRNP,DRD1;DRD2
74,acetylsalicylic acid,CC(=O)OC1=CC=CC=C1C(O)=O,ASIC3;GGT1;NAPRT;PTGS1;PTGS2,PTGS1;PTGS2
76,acipimox,CC1=CN=C(C=[N+]1[O-])C(O)=O,HCAR2,HCAR2
78,acitretin,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,ABCB11;RARA;RARG,RARA;RARG
