struct_id,name,inchikey,gene_symbol,uniprot,organism,evidence,activity_type,activity_value,activity_units,pchembl,passes_threshold,n_activities,assay_types,molecule_chembl_id,target_chembl_id,match_method,source_url
100,ajmaline,CJDRUOGAGYHKKD-RQBLFBSQSA-N,CYP2D6,P10635,Homo sapiens,chembl_pchembl,IC50,1000.0,nM,6.00,1,1,B,CHEMBL5314404,CHEMBL289,name_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL5314404&target_chembl_id=CHEMBL289&pchembl_value__isnull=false
100,ajmaline,CJDRUOGAGYHKKD-RQBLFBSQSA-N,KCNH2,Q12809,Homo sapiens,chembl_pchembl,IC50,1040.0,nM,5.98,0,1,F,CHEMBL5314404,CHEMBL240,name_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL5314404&target_chembl_id=CHEMBL240&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,ABCB1,P08183,Homo sapiens,chembl_pchembl,IC50,2400.0,nM,5.62,0,3,F,CHEMBL50588,CHEMBL4302,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL4302&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,ADRA2A,P08913,Homo sapiens,chembl_pchembl,Ki,14.0,nM,7.85,1,2,B,CHEMBL50588,CHEMBL1867,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL1867&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,ADRA2C,P18825,Homo sapiens,chembl_pchembl,Ki,26.0,nM,7.58,1,2,B,CHEMBL50588,CHEMBL1916,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL1916&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,GPR35,Q9HC97,Homo sapiens,chembl_pchembl,IC50,352.52,nM,6.45,1,1,F,CHEMBL50588,CHEMBL1293267,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL1293267&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,RBBP9,O75884,Homo sapiens,chembl_pchembl,IC50,7800.0,nM,5.11,0,1,B,CHEMBL50588,CHEMBL1075121,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL1075121&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,SLC2A1,P11166,Homo sapiens,chembl_pchembl,IC50,108.0,nM,6.97,1,1,F,CHEMBL50588,CHEMBL2535,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL2535&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,LmGT2,O61059,Leishmania mexicana,chembl_pchembl_nonhuman,IC50,81.0,nM,7.09,1,1,F,CHEMBL50588,CHEMBL3431938,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL3431938&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,ht1,O97467,Plasmodium falciparum,chembl_pchembl_nonhuman,IC50,90.0,nM,7.05,1,1,F,CHEMBL50588,CHEMBL4697,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL4697&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,Adra1a,P43140,Rattus norvegicus,chembl_pchembl_nonhuman,Ki,2642.0,nM,5.58,0,2,B,CHEMBL50588,CHEMBL319,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL319&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,Adra1b,P15823,Rattus norvegicus,chembl_pchembl_nonhuman,Ki,1071.0,nM,5.97,0,2,B,CHEMBL50588,CHEMBL315,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL315&pchembl_value__isnull=false
1001,emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,A0A143MHK7,A0A143MHK7,Zika virus,chembl_pchembl_nonhuman,EC50,8.74,nM,8.06,1,2,B,CHEMBL50588,CHEMBL4523952,inchikey_exact,https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL50588&target_chembl_id=CHEMBL4523952&pchembl_value__isnull=false
