SMILES,SMILES_state,Scaffold,R-groups,NLL
N=C(N)NCCCC(N)c1ccc(O)c(O)c1,1,C(NC(=N)N)CCC([*])[*],c1(O)cc(*)ccc1O|N*,11.25
CCCCCC=CCC(=CCN=C=S)C(=O)Nc1ccc(C(=N)NCCN=C(N)N=C(N)N=NC(=NCCCCN=C(N)N)C(C)C)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,CC(C)C(N=NC(=NC(=NCC*)N)N)=NCCCCN=C(N)N|C(C(*)=O)(=CCN=C=S)CC=CCCCCC,49.99
CN(Cc1ccc(C(=N)NS(=O)(=O)O)cc1)Cc1ccccc1N(C)C,1,N(C(c1ccc(C[*])cc1)=N)[*],C(c1c(N(C)C)cccc1)N(C)*|O=S(=O)(O)*,24.22
Cc1cccc(CC(CCCNC(=N)N)c2ccc(C3CN(C)C(=N)S3)cc2)c1,1,C(NC(=N)N)CCC([*])[*],c1c(C*)cc(C)cc1|c1(*)ccc(C2SC(=N)N(C)C2)cc1,23.77
CC(=O)Nc1ccc(C(=N)Nc2ccc(C(=N)N)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,c1c(C(=N)N)ccc(*)c1|O=C(C)*,10.08
CC1CN(C(=S)NCCCNC(=O)OCc2ccccc2)CCN1Cc1ccc(C(=N)NS(=O)(=O)Nc2ccccc2)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],S=C(N1CC(C)N(*)CC1)NCCCNC(OCc1ccccc1)=O|c1c(NS(=O)(*)=O)cccc1,36.54
N=C(N)NCCCC(Cc1ccc(O)cc1)c1ccccc1,1,C(NC(=N)N)CCC([*])[*],c1c(*)cccc1|*Cc1ccc(O)cc1,9.6
CC(=O)Nc1ccc(C(=N)NC(=O)c2ccc(OS(C)(=O)=O)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,c1cc(OS(=O)(C)=O)ccc1C(*)=O|O=C(*)C,20.0
CSc1c(C)c(C)cc(NC(=O)c2cc(NC(=O)OCCCc3ccc(C(=N)NS(=O)(=O)O)cc3)cc(NNC(=S)NC(N)=O)n2)c1C(N)=O,1,N(C(c1ccc(C[*])cc1)=N)[*],c1c(NC(=O)OCC*)cc(C(=O)Nc2cc(C)c(C)c(SC)c2C(N)=O)nc1NNC(=S)NC(N)=O|O=S(=O)(*)O,62.95
CNC(CCCNC(=N)N)c1ccc(O)cc1,1,C(NC(=N)N)CCC([*])[*],c1c(*)ccc(O)c1|*NC,10.15
C=[N+]N=C=NCC=NC=NC(C=CNC(=N)C=CC1CSCN1C(=O)NC(=N)c1ccc(NC(C)=O)cc1)CN=C=NC=NSC=C=CN=C=N,1,[*]NC(c1ccc(N[*])cc1)=N,C(*)(=O)N1CSCC1C=CC(NC=CC(CN=C=NC=NSC=C=CN=C=N)N=CN=CCN=C=N[N+]=C)=N|*C(=O)C,65.42
CC(N)=NNC(=O)c1ccccc1OCc1ccc(C(=N)NS(N)(=O)=O)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],c1(C(NN=C(C)N)=O)c(O*)cccc1|O=S(=O)(*)N,19.53
CN=C(N)Nc1ccc(CC(=O)Nc2ccc(CCCNC(=O)CCC(CCl)CCCNC(=N)N)cc2)cc1,1,C(NC(=N)N)CCC([*])[*],C(Cl)*|C(*)CC(=O)NCCCc1ccc(NC(Cc2ccc(NC(N)=NC)cc2)=O)cc1,39.0
CN=C(N)C=Cc1cccc(NC(=N)c2ccc(NC(C)=O)cc2)c1,1,[*]NC(c1ccc(N[*])cc1)=N,c1c(*)cccc1C=CC(=NC)N|CC(*)=O,17.69
N=C(NS(=O)(=O)c1ccccc1OC(Cl)(Cl)Cl)c1ccc(Cc2c(N)ncn(C3CCCCCC3)c2=O)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],C1(n2c(=O)c(*)c(N)nc2)CCCCCC1|O=S(*)(=O)c1c(OC(Cl)(Cl)Cl)cccc1,30.1
CC(C)CC(N)CCCNC(=N)N,1,C(NC(=N)N)CCC([*])[*],*CC(C)C|N*,7.15
CC(C)(C)c1ccc(C(=O)Nc2ccc(C(=N)NC=O)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,O=C*|CC(C)(C)c1ccc(C(*)=O)cc1,12.44
