rank,selected_as_ideal_binder,chembl_id,pref_name,smiles,standard_type,standard_value_nm,pchembl,assay_chembl_id,assay_confidence_score,assay_description,document_chembl_id,pmid,mw,is_approved_drug,approved_drug_name,approved_match_type,approved_reference_table,n_potent_activities,n_distinct_assays,n_distinct_documents,best_of_molecule_nm,median_nm,target_symbol,target_uniprot,target_chembl_id,caveat
1,True,CHEMBL1289926,AXITINIB,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,IC50,0.02,10.70,CHEMBL5621867,9,Inhibition of VEGFR-2 (unknown origin) expressed in PAE cells assessed as reduction in VEGFA induced protein phosphorylation preincubated for 1 hr followed by VEGFA stimulation for 5 to 10 mins by ELISA,CHEMBL5620377,37285684,386.48,True,axitinib,inchikey_exact,approved_drugs.csv,11,11,11,0.02,0.25,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
2,False,CHEMBL3925855,,Cn1ccnc1C(=O)Nc1cccc(Oc2ccc3c(/C=C/c4ccccn4)n[nH]c3c2)c1,Ki,0.02,10.70,CHEMBL3881022,9,Inhibition of unphosphorylated human 50 residues truncated cytoplasmic domain of VEGFR2 E990V mutant expressed in baculovirus/insect expression system assessed as reduction in NADH oxidation using poly(E4Y1) as substrate by pyruvate kinase/lactate dehydrogenase coupled assay,CHEMBL3880421,,436.48,False,,none,approved_drugs.csv,1,1,1,0.02,0.02,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
3,False,CHEMBL1336,SORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Ki,0.021,10.68,CHEMBL1821211,9,Inhibition of human N-terminal His-tagged non-phosphorylated VEGFR2 after 60 mins by activity based 100 fold dilution assay,CHEMBL1817643,21885287,464.83,True,sorafenib,inchikey_exact,approved_drugs.csv,103,102,86,0.021,44.34,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
4,False,CHEMBL5189340,,CN(C)c1ccc(/C=N/NC(=O)Cn2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)cc1,IC50,0.023,10.64,CHEMBL5104376,9,Inhibition of VEGFR-2 (unknown origin),CHEMBL5104091,33129590,473.96,False,,none,approved_drugs.csv,1,1,1,0.023,0.023,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
5,False,CHEMBL1254007,,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21,Ki,0.024,10.62,CHEMBL1821211,9,Inhibition of human N-terminal His-tagged non-phosphorylated VEGFR2 after 60 mins by activity based 100 fold dilution assay,CHEMBL1817643,21885287,445.38,False,,none,approved_drugs.csv,10,9,2,0.024,5.45,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
6,False,CHEMBL2105717,CABOZANTINIB,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,IC50,0.03,10.52,CHEMBL6074902,9,Inhibition of VEGFR-2 (unknown origin),CHEMBL6074624,39128361,501.51,True,cabozantinib,inchikey_exact,approved_drugs.csv,32,32,27,0.03,0.035,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
7,False,CHEMBL429743,,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,IC50,0.03,10.52,CHEMBL950174,8,Inhibition of KDR by HTRF assay,CHEMBL1144028,18311900,484.94,False,,none,approved_drugs.csv,6,6,6,0.03,0.4849,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
8,False,CHEMBL3898789,,Cc1cnc(C(=O)Nc2cccc(Oc3ccc4c(/C=C/c5ccccc5)n[nH]c4c3)c2)s1,Ki,0.03,10.52,CHEMBL3881022,9,Inhibition of unphosphorylated human 50 residues truncated cytoplasmic domain of VEGFR2 E990V mutant expressed in baculovirus/insect expression system assessed as reduction in NADH oxidation using poly(E4Y1) as substrate by pyruvate kinase/lactate dehydrogenase coupled assay,CHEMBL3880421,,452.54,False,,none,approved_drugs.csv,1,1,1,0.03,0.03,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
9,False,CHEMBL3915607,,CCn1nc(C)cc1C(=O)Nc1cccc(C(=O)c2ccc3c(/C=C/c4ccccn4)n[nH]c3c2)c1,Ki,0.03,10.52,CHEMBL3881022,9,Inhibition of unphosphorylated human 50 residues truncated cytoplasmic domain of VEGFR2 E990V mutant expressed in baculovirus/insect expression system assessed as reduction in NADH oxidation using poly(E4Y1) as substrate by pyruvate kinase/lactate dehydrogenase coupled assay,CHEMBL3880421,,476.54,False,,none,approved_drugs.csv,1,1,1,0.03,0.03,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
10,False,CHEMBL489326,EXELIXIS,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c2cc1OC,IC50,0.035,10.46,CHEMBL3811337,9,"Inhibition of human recombinant full length VEGFR2 using poly (Glu,Tyr) as substrate by AlphaScreen assay",CHEMBL3808287,26555154,519.5,False,,none,approved_drugs.csv,4,4,3,0.035,4.45,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
11,False,CHEMBL3899609,,O=C(c1cccc(NC(=O)C2C[C@H]2c2ccccc2)c1)c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,Ki,0.04,10.40,CHEMBL3881022,9,Inhibition of unphosphorylated human 50 residues truncated cytoplasmic domain of VEGFR2 E990V mutant expressed in baculovirus/insect expression system assessed as reduction in NADH oxidation using poly(E4Y1) as substrate by pyruvate kinase/lactate dehydrogenase coupled assay,CHEMBL3880421,,484.56,False,,none,approved_drugs.csv,1,1,1,0.04,0.04,KDR,P35968,CHEMBL279,"best literature ligand for this target, not a theoretical optimum; potency is the single most potent qualifying ChEMBL activity"
