uniprot,gene,n_trials,n_distinct_ligands_available_in_pdb,n_duplicate_entries_collapsed,median_resolution,mean_n_observed_residues,mean_n_core_residues,n_trials_with_empty_core,n_lipid_class_instances_seen,mean_max_tanimoto,delta_consensus_minus_p2rank_primary,delta_consensus_minus_one_random_other_ligand_primary,consensus::precision,consensus::recall,consensus::f1,consensus::jaccard,consensus_size_matched::precision,consensus_size_matched::recall,consensus_size_matched::f1,consensus_size_matched::jaccard,p2rank_top1::precision,p2rank_top1::recall,p2rank_top1::f1,p2rank_top1::jaccard,p2rank_best_of_3::precision,p2rank_best_of_3::recall,p2rank_best_of_3::f1,p2rank_best_of_3::jaccard,null1_one_random_other_ligand::precision,null1_one_random_other_ligand::recall,null1_one_random_other_ligand::f1,null1_one_random_other_ligand::jaccard,null2_most_dissimilar_other_ligand::precision,null2_most_dissimilar_other_ligand::recall,null2_most_dissimilar_other_ligand::f1,null2_most_dissimilar_other_ligand::jaccard,buried::precision,buried::recall,buried::f1,buried::jaccard,buried_size_matched::precision,buried_size_matched::recall,buried_size_matched::f1,buried_size_matched::jaccard,buried_surface_size_matched::precision,buried_surface_size_matched::recall,buried_surface_size_matched::f1,buried_surface_size_matched::jaccard,random::precision,random::recall,random::f1,random::jaccard,random_size_matched::precision,random_size_matched::recall,random_size_matched::f1,random_size_matched::jaccard,union_all::precision,union_all::recall,union_all::f1,union_all::jaccard
P12821,ACE,26,44,2,1.75,17.26923076923077,0.0,26,0,0.5602093359321435,-0.1642991488857431,-0.27346576609879625,0.0,0.0,0.0,0.0,0.24940906144079522,0.24940906144079522,0.24940906144079522,0.15066387868861364,0.1642991488857431,0.6872485190248347,0.26268978210657556,0.16323915991369434,0.2208757470197627,0.8521669339432496,0.34580540988429104,0.21777488224398417,0.27346576609879625,0.2746293468313592,0.26785579420235817,0.22667035354488943,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.05172602079722824,0.05172602079722824,0.05172602079722824,0.027491918140923718,nan,nan,nan,nan,0.03375891686143233,0.03375891686143233,0.03375891686143233,0.017855912477762168,0.17587809857162984,0.8685876868229809,0.29010467451054794,0.17474916387959866
P29274,ADORA2A,28,109,14,1.9,13.071428571428571,0.0,28,76,0.3825447653444313,-0.22468487803891532,-0.29269048258872316,0.0,0.0,0.0,0.0,0.46272636385556554,0.46272636385556554,0.46272636385556554,0.3335837681901371,0.22468487803891532,0.368249479278891,0.2774999084374338,0.21650996956844032,0.557054711937387,0.8376372343809318,0.664057207689423,0.5343781256027839,0.29269048258872316,0.2931243815999593,0.29023287515271157,0.24258531247579698,0.03273809523809524,0.03571428571428571,0.034161490683229816,0.03273809523809524,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.1075028437948606,0.1075028437948606,0.1075028437948606,0.05854085030864235,nan,nan,nan,nan,0.03433551649097868,0.03433551649097868,0.03433551649097868,0.018179656824315927,0.15150218862624878,0.8461075135182278,0.25598913156799513,0.1506410256410256
P15121,AKR1B1,25,75,2,0.93,13.92,12.2,0,0,0.6111486096135771,0.4364405186080903,0.07727471556221543,0.8392207792207792,0.7236780017368254,0.7523334646666769,0.6220957049486461,0.8809347711112417,0.8809347711112417,0.8809347711112417,0.8256566570684217,0.4027802606126889,0.9142661064425771,0.5508510498369324,0.38751125771481726,0.4027802606126889,0.9142661064425771,0.5508510498369324,0.38751125771481726,0.7619460636585638,0.7551180159709573,0.7336199636482762,0.6266478675821943,0.769423076923077,0.7576673718438424,0.7484307813926173,0.6215314644076254,0.007272727272727273,0.005,0.005925925925925926,0.0032,0.005,0.005,0.005,0.0026666666666666666,0.11788933288933288,0.11788933288933288,0.11788933288933288,0.06402997151653622,0.055002597402597386,0.05026811077811077,0.05012523822376455,0.02666791238438553,0.05364763200851435,0.05364763200851435,0.05364763200851435,0.028611580365648877,0.5319538461538461,0.9811428571428571,0.6790214759421237,0.5307692307692308
P42330,AKR1C3,24,63,0,1.67,15.125,12.416666666666666,0,0,0.3602079757629972,0.5202096589487162,0.1217314666596303,0.8573717948717948,0.7257841693551832,0.7760009580763305,0.6445034685601636,0.8282034323104369,0.8282034323104369,0.8282034323104369,0.7236614366119515,0.3371621359230786,0.7588714246995982,0.46404420810399977,0.329727440458178,0.4150866287025165,0.9582125927907663,0.5745760971919234,0.40637189631635146,0.7356403282121645,0.7245474498572894,0.713759077582036,0.5653061886346381,0.7747030338942104,0.7454641147752602,0.7471134457232437,0.6029706572953476,0.006944444444444444,0.004208754208754209,0.00522875816993464,0.002699407871821665,0.004208754208754209,0.004208754208754209,0.004208754208754209,0.0021594684385382056,0.05452277913578222,0.05452277913578222,0.05452277913578222,0.028902567304147763,0.06421741452991452,0.05336909447943696,0.05757093800751051,0.03064300031714018,0.069604938170776,0.069604938170776,0.069604938170776,0.037242085871799606,0.41775793650793647,0.9905002405002405,0.5825901130547836,0.41550925925925924
Q9UM73,ALK,25,44,0,1.86,20.56,18.0,0,0,0.4598456020351639,0.09085444876237703,0.11191970189511191,0.9244444444444443,0.817573186531391,0.8648853978185105,0.7678475098745912,0.8740154834501584,0.8740154834501584,0.8740154834501584,0.7841519685162706,0.8335899956820673,0.6751735586738683,0.7425390372875377,0.6336113087692036,0.9352475603396319,0.7549496352288922,0.8313023174247163,0.7180892909556256,0.8125247425493324,0.8132499060932187,0.8076820243772819,0.6861091967988603,0.8231736650002904,0.8092283525212318,0.8080752509759571,0.6841769452935869,0.0022222222222222222,0.002,0.002105263157894737,0.001081081081081081,0.002,0.002,0.0020000000000000005,0.0010256410256410256,0.1231755507306591,0.1231755507306591,0.12317555073065911,0.06663147949300313,0.0855777777777777,0.07497040481328099,0.07964657996860168,0.04251448582923389,0.08743736642854907,0.08743736642854907,0.08743736642854907,0.04681563540642114,0.4988939797900003,0.9898947368421053,0.6610846336306243,0.4956097560975609
O14965,AURKA,26,135,1,1.88,12.346153846153847,0.0,26,0,0.24937666990527046,-0.23712555254133016,-0.20666576312701881,0.0,0.0,0.0,0.0,0.4675070530274151,0.4675070530274151,0.4675070530274151,0.3821385860463487,0.23712555254133016,0.3667560443578543,0.26311600168804034,0.19180234432665777,0.3774044470885174,0.48669860180041175,0.3966312421037333,0.3167482076420863,0.20666576312701881,0.20926395807560966,0.20293100417107873,0.16870500810498065,0.23012820512820514,0.2011985236985237,0.21240284912885532,0.18356195086964316,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.07893361917117574,0.07893361917117574,0.07893361917117574,0.043392701601515975,nan,nan,nan,nan,0.05436931749748491,0.05436931749748491,0.05436931749748491,0.02923512661708812,0.11302045862344048,0.8870490407028869,0.19566029922714218,0.11188811188811189
P56817,BACE1,27,378,1,1.51,19.48148148148148,1.4074074074074074,0,0,0.45591600400984006,0.1252951922027008,0.24411676583130548,0.5185185185185185,0.03125358013929079,0.05843752296333023,0.030673965872886018,0.3777530140513419,0.3777530140513419,0.3777530140513419,0.25673851418372684,0.3932233263158177,0.5916031759484595,0.4685616466741895,0.37689117248131615,0.6149171318133866,0.8908268389707494,0.7153763323150726,0.5787619118164767,0.274401752687213,0.2791364881374101,0.27200699346868756,0.21106765101728955,0.20141789659333523,0.10603475274337214,0.1300203718083667,0.08569423135377001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15645195439157292,0.15645195439157292,0.15645195439157292,0.0868249774368399,0.06833333333333334,0.00497194903245927,0.00905581692652631,0.004797575995986131,0.06657634472101126,0.06657634472101126,0.06657634472101126,0.03536146166827227,0.14160395439685983,0.8415066248552137,0.24146678015109657,0.1408621736490589
P06276,BCHE,29,81,0,2.2,18.586206896551722,16.413793103448278,0,0,0.4635433650968164,0.16517155973964326,0.1393607271611218,0.7417596348884381,0.6342842533238627,0.6726133956134658,0.5470468880012792,0.7139574750942246,0.7139574750942246,0.7139574750942246,0.6084823879216776,0.5765880751487948,0.7901120247744728,0.6597008823429934,0.5257002839216213,0.6048012412929955,0.812279512459202,0.68452846854989,0.5450968356457593,0.6023989077273163,0.599077875122112,0.5827414664976555,0.4626492343769392,0.4944765565028189,0.38493604648662755,0.42359864876246445,0.29172009781193553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07603895219773814,0.07603895219773814,0.07603895219773814,0.040436584315832344,0.04177738336713996,0.03704642791637433,0.03830863875731076,0.020109342279516353,0.044260479737615,0.044260479737615,0.044260479737615,0.023287438783348692,0.29326596947427924,0.9324199507389161,0.44100568502066706,0.2928208027133974
P15056,BRAF,24,53,0,2.11,21.458333333333332,16.0,0,0,0.4561420535614145,0.47457811187035226,0.2608145746241427,0.8203125,0.5854716068002682,0.6817697708342766,0.5790382907202128,0.6973084927404148,0.6973084927404148,0.6973084927404148,0.6048119995297414,0.34573438812964774,0.44269208924815323,0.3836890871412504,0.29987963630019626,0.6461521012141032,0.7633183832440125,0.6891102121763358,0.546080600833173,0.5594979253758573,0.5592307842646802,0.5568333023657693,0.4734377919650305,0.20202922077922078,0.18244498556998556,0.1899909420289855,0.14629334492417656,0.028645833333333332,0.02000811688311688,0.023536365312681103,0.012252018502018501,0.027533094924399273,0.027533094924399273,0.027533094924399273,0.014291091737615384,0.2033615886719434,0.2033615886719434,0.2033615886719434,0.11607477536234696,0.09218750000000002,0.07404352948411873,0.07974836434720202,0.04261877338078305,0.0935217497589494,0.0935217497589494,0.0935217497589494,0.05019805106060948,0.22565199775087522,0.8865079365079366,0.35904453292007527,0.22331460674157308
O60885,BRD4,25,410,0,1.12,13.56,14.0,0,0,0.370856623540413,0.27015952399853327,0.027227324391294938,0.9114285714285715,0.9449311864605983,0.9255327513997148,0.867155462184874,0.9296289103053809,0.9296289103053809,0.9296289103053809,0.874655069045162,0.6412690474300382,0.7598254490607431,0.6911574991563867,0.542366004136902,0.664798459194744,0.7883968776321717,0.7169639507692901,0.561413623184521,0.8842012470372765,0.8826452811893988,0.8789954704366413,0.7905870869670407,0.9055724275724276,0.8461229065052595,0.8694453176342231,0.7724586296056886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2012236978707567,0.2012236978707567,0.2012236978707567,0.11284762816639247,0.12365714285714276,0.12753925143483957,0.12523291114488444,0.0689193544528657,0.12283590546708184,0.12283590546708184,0.12283590546708184,0.06762710805018717,0.5860304912478825,0.9860714285714286,0.7330539995988912,0.5808695652173913
